의료기관명,의료기관분류,세부진단,의료기관전화번호,연락처,위도,경도,진료과목내용명,운영시간,공휴일시간,의료기관주소,월요일진료시작시간,월요일진료종료시간,월요일휴게시작시간,월요일휴게종료시간,화요일진료시작시간,화요일진료종료시간,화요일휴게시작시간,화요일휴게종료시간,수요일진료시작시간,수요일진료종료시간,수요일휴게시작시간,수요일휴게종료시간,목요일진료시작시간,목요일진료종료시간,목요일휴게시작시간,목요일휴게종료시간,금요일진료시작시간,금요일진료종료시간,금요일휴게시작시간,금요일휴게종료시간,토요일진료시작시간,토요일진료종료시간,토요일휴게시작시간,토요일휴게종료시간,일요일진료시작시간,일요일진료종료시간,일요일휴게시작시간,일요일휴게종료시간
계림한의원,한의원,한의원,044-868-2355,044-868-2355 대표번호,36.495623,127.249222,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과, 한방응급과",진료시간  월 ~ 목 10:00 ~ 20:00  금 10:00 ~ 18:30  토 09:30 ~ 14:00  월 ~ 금 휴게시간 13:00 ~ 14:00,휴무일 일요일 공휴일,세종특별자치시 다정중앙로 58 다정메디프라자 403호 (우)30123,10:00,20:00,13:00,14:00,10:00,20:00,13:00,14:00,10:00,20:00,13:00,14:00,10:00,20:00,13:00,14:00,10:00,18:30,13:00,14:00,9:30,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
고운마음한의원,한의원,한의원,044-863-7517,044-863-7517 대표번호,36.505846,127.2339926,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",진료시간  월 ~ 금 09:30 ~ 19:00  토 09:00 ~ 13:00,휴무일 정보 없음,세종특별자치시 고운서길 19 스마트큐브1차 3층 304호 (우)30063,9:30,19:00,정보 없음,정보 없음,9:30,19:00,정보 없음,정보 없음,9:30,19:00,정보 없음,정보 없음,9:30,19:00,정보 없음,정보 없음,9:30,19:00,정보 없음,정보 없음,9:00,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
고운맘소아청소년과의원,의원,소아청소년과,044-862-5252,044-862-5252 대표번호,36.5050737,127.2344,"내과, 소아청소년과, 이비인후과, 피부과",진료시간  월화목금 08:30 ~ 18:00  수 08:40 ~ 12:30  토 09:00 ~ 12:30,휴무일 정보 없음,세종특별자치시 마음로 70 에셀프라자 304호 (우)30063,8:30,18:00,정보 없음,정보 없음,8:30,18:00,정보 없음,정보 없음,8:40,12:30,정보 없음,정보 없음,8:30,18:00,정보 없음,정보 없음,8:30,18:00,정보 없음,정보 없음,9:00,12:30,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
고운소아청소년과의원,의원,소아청소년과,044-868-9545,044-868-9545 대표번호,36.477293,127.28961,"내과, 소아청소년과",진료시간  월 ~ 금 09:00 ~ 18:00  토 09:00 ~ 12:30  월 ~ 금 휴게시간 12:30 ~ 14:00,휴무일 일요일 공휴일,세종특별자치시 남세종로 454 강남제일타워 4층 (우)30150,9:00,18:00,12:30,14:00,9:00,18:00,12:30,14:00,9:00,18:00,12:30,14:00,9:00,18:00,12:30,14:00,9:00,18:00,12:30,14:00,9:00,12:30,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
곰돌이소아청소년과의원,의원,소아청소년과,044-866-0275,044-866-0275 대표번호,36.5031538,127.249892,소아청소년과,진료시간  월 ~ 금 09:00 ~ 19:00  토 09:00 ~ 13:00,공휴일 09:00 ~ 13:00,세종특별자치시 달빛로 47 종촌파크플라자 3층 302호 (우)30064,9:00,19:00,정보 없음,정보 없음,9:00,19:00,정보 없음,정보 없음,9:00,19:00,정보 없음,정보 없음,9:00,19:00,정보 없음,정보 없음,9:00,19:00,정보 없음,정보 없음,9:00,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
굿제이산부인과의원,의원,산부인과,044-715-7677,044-715-7677 대표번호,36.5082505,127.2624711,"내과, 산부인과, 소아청소년과, 이비인후과, 피부과, 가정의학과",진료시간  월 ~ 금 10:00 ~ 20:00  토 10:00 ~ 14:00,휴무일 일요일,세종특별자치시 절재로 194 303호 (우)30103,10:00,20:00,정보 없음,정보 없음,10:00,20:00,정보 없음,정보 없음,10:00,20:00,정보 없음,정보 없음,10:00,20:00,정보 없음,정보 없음,10:00,20:00,정보 없음,정보 없음,10:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
금동치과의원,치과의원,치과,044-866-9037,044-866-9037 대표번호,36.4869109,127.2511677,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과",진료시간  월화목금 09:30 ~ 18:30  수 09:30 ~ 20:30  토 09:30 ~ 14:00,휴무일 정보 없음,세종특별자치시 새롬중앙로 62-15 해피라움W 505호 (우)30127,9:30,18:30,정보 없음,정보 없음,9:30,18:30,정보 없음,정보 없음,9:30,20:30,정보 없음,정보 없음,9:30,18:30,정보 없음,정보 없음,9:30,18:30,정보 없음,정보 없음,9:30,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
김만주정성치과의원,치과의원,치과,044-865-2080,044-865-2080 대표번호,36.4845533,127.3011103,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과",진료시간  월화금 10:00 ~ 19:00  수 10:00 ~ 20:30  토 09:00 ~ 14:00  월 ~ 수금 휴게시간 13:00 ~ 14:00,휴무일 목일요일 공휴일,세종특별자치시 소담1로 16 지엘플렉스2 4층 404호 (우)30150,10:00,19:00,13:00,14:00,10:00,19:00,13:00,14:00,10:00,20:30,13:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,10:00,19:00,13:00,14:00,9:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
김종열한의원,한의원,한의원,070-7576-7077,044-868-1077 대표번호,36.4715517,127.2763529,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",진료시간  화목토 09:30 ~ 18:30  화목토 휴게시간 12:30 ~ 14:00,공휴일 09:30 ~ 18:30 휴게시간 12:30 ~ 14:00,세종특별자치시 한누리대로 2275 알파메디컬센터 3층 312313호 (우)30153,정보 없음,정보 없음,정보 없음,정보 없음,9:30,18:30,12:30,14:00,정보 없음,정보 없음,정보 없음,정보 없음,9:30,18:30,12:30,14:00,정보 없음,정보 없음,정보 없음,정보 없음,9:30,18:30,12:30,14:00,정보 없음,정보 없음,정보 없음,정보 없음
꿈담소아청소년과의원,의원,소아청소년과,044-715-7545,044-715-7545 대표번호,36.5192791,127.2346597,"소아청소년과, 이비인후과, 피부과, 가정의학과",진료시간  월화목금 09:00 ~ 18:30  수토 09:00 ~ 12:30,휴무일 정보 없음,세종특별자치시 마음로 264 고운프라자 2층 201-1호 (우)30062,9:00,18:30,정보 없음,정보 없음,9:00,18:30,정보 없음,정보 없음,9:00,12:30,정보 없음,정보 없음,9:00,18:30,정보 없음,정보 없음,9:00,18:30,정보 없음,정보 없음,9:00,12:30,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
나은정형외과의원,의원,정형외과,044-863-7579,044-863-7579 대표번호,36.5115351,127.243696,"내과, 외과, 정형외과, 마취통증의학과, 소아청소년과, 재활의학과",진료시간  월 ~ 금 09:00 ~ 18:30  토 09:00 ~ 13:00  월 ~ 금 휴게시간 12:30 ~ 13:30,휴무일 정보 없음,세종특별자치시 보듬3로 143 대영프라자 502503호 (우)30100,9:00,18:30,12:30,13:30,9:00,18:30,12:30,13:30,9:00,18:30,12:30,13:30,9:00,18:30,12:30,13:30,9:00,18:30,12:30,13:30,9:00,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
노블클라쎄산부인과의원,의원,산부인과,044-866-3575,044-866-3575 대표번호,36.4767014,127.2867915,산부인과,진료시간  월 ~ 금 09:00 ~ 20:00  토 09:00 ~ 17:00  일 09:00 ~ 12:00  월 ~ 토 휴게시간 13:00 ~ 14:00,휴무일 정보 없음,세종특별자치시 한누리대로 2165 대방디엠씨티 A동 3층 302~308호 (우)30150,9:00,20:00,13:00,14:00,9:00,20:00,13:00,14:00,9:00,20:00,13:00,14:00,9:00,20:00,13:00,14:00,9:00,20:00,13:00,14:00,9:00,17:00,13:00,14:00,9:00,12:00,정보 없음,정보 없음
누리마루치과의원,치과의원,치과,044-865-2275,044-865-2275 대표번호,36.5046297,127.2705662,"치과, 통합치의학과",진료시간  월화목금 10:00 ~ 19:00  수토 10:00 ~ 13:00,휴무일 정보 없음,세종특별자치시 도움8로 81 A동 301호 (우)30107,10:00,19:00,정보 없음,정보 없음,10:00,19:00,정보 없음,정보 없음,10:00,13:00,정보 없음,정보 없음,10:00,19:00,정보 없음,정보 없음,10:00,19:00,정보 없음,정보 없음,10:00,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
다정내과의원,의원,내과,044-864-1911,044-864-1911 대표번호,36.4956245,127.2485187,"내과, 신경과, 이비인후과, 피부과",진료시간  월 ~ 금 08:30 ~ 19:00  토 08:30 ~ 14:00  월 ~ 금 휴게시간 13:00 ~ 14:00,휴무일 일요일,세종특별자치시 다정중앙로 57 다정센타프라자 306호 (우)30124,8:30,19:00,13:00,14:00,8:30,19:00,13:00,14:00,8:30,19:00,13:00,14:00,8:30,19:00,13:00,14:00,8:30,19:00,13:00,14:00,8:30,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
다정서문365정형외과의원,의원,정형외과,044-865-1039,044-865-1039 대표번호,36.4951143,127.2492738,"내과, 신경과, 외과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 피부과, 영상의학과, 재활의학과, 가정의학과",진료시간  월 ~ 금 09:00 ~ 20:00  토 09:00 ~ 14:00  월 ~ 금 휴게시간 13:00 ~ 14:00,휴무일 일요일 공휴일,세종특별자치시 다정중앙로 52 페스티발2 605~613호 (우)30123,9:00,20:00,13:00,14:00,9:00,20:00,13:00,14:00,9:00,20:00,13:00,14:00,9:00,20:00,13:00,14:00,9:00,20:00,13:00,14:00,9:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
다정소아청소년과의원,의원,소아청소년과,044-998-7711,044-998-7711 대표번호,36.4973531,127.2425836,"내과, 소아청소년과",진료시간  월화목금 09:00 ~ 18:30  수토 09:00 ~ 12:30  월화목금 휴게시간 12:30 ~ 14:00,휴무일 일요일 공휴일,세종특별자치시 다정북로 109 가온마을3단지 204205호 (우)30124,9:00,18:30,12:30,14:00,9:00,18:30,12:30,14:00,9:00,12:30,정보 없음,정보 없음,9:00,18:30,12:30,14:00,9:00,18:30,12:30,14:00,9:00,12:30,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
다정한의원,한의원,한의원,044-868-1090,044-868-1090 대표번호,36.4860757,127.2503182,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",진료시간  월수금 09:30 ~ 18:00  토 09:30 ~ 13:00,휴무일 정보 없음,세종특별자치시 새롬중앙로 59 (우)30126,9:30,18:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,9:30,18:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,9:30,18:00,정보 없음,정보 없음,9:30,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
단국대학교치과대학세종치과병원,치과병원,치과,044-410-5000,044-410-5000 대표번호,36.5043979,127.2711385,"마취통증의학과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 통합치의학과",진료시간  월 ~ 금 09:00 ~ 18:00  월 ~ 금 휴게시간 13:00 ~ 14:00,휴무일 토일요일 공휴일,세종특별자치시 도움8로 87 단국빌딩 3층 (우)30107,9:00,18:00,13:00,14:00,9:00,18:00,13:00,14:00,9:00,18:00,13:00,14:00,9:00,18:00,13:00,14:00,9:00,18:00,13:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
당신의치과의원,치과의원,치과,044-862-0028,044-862-0028 대표번호,36.5293927,127.264881,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과",진료시간  월수 ~ 금 09:30 ~ 18:30  화 09:30 ~ 20:30  토 09:30 ~ 14:00  월 ~ 금 휴게시간 13:00 ~ 14:00,휴무일 일요일 공휴일,세종특별자치시 해밀3로 51 스카이허브 4층 404405호 (우)30092,9:30,18:30,13:00,14:00,9:30,20:30,13:00,14:00,9:30,18:30,13:00,14:00,9:30,18:30,13:00,14:00,9:30,18:30,13:00,14:00,9:30,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
더공감정신건강의학과의원,의원,정신건강의학과,044-715-7678,044-715-7678 대표번호,36.4782996,127.2892998,정신건강의학과,진료시간  월화목금 09:30 ~ 17:30  토 09:30 ~ 13:00  월화목금 휴게시간 13:00 ~ 14:30,휴무일 수일요일 공휴일,세종특별자치시 한누리대로 2135 스타힐타워 A동 3층 304호 (우)30150,9:30,17:30,13:00,14:30,9:30,17:30,13:00,14:30,정보 없음,정보 없음,정보 없음,정보 없음,9:30,17:30,13:00,14:30,9:30,17:30,13:00,14:30,9:30,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
더브라운치과의원,치과의원,치과,044-865-2929,044-865-2929 대표번호,36.519717,127.2358544,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과, 통합치의학과",진료시간  월화금 10:00 ~ 19:00  목 12:00 ~ 20:00  토 10:00 ~ 13:00,휴무일 정보 없음,세종특별자치시 마음로 272-3 고운에듀프라자 3층 (우)30062,10:00,19:00,정보 없음,정보 없음,10:00,19:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,12:00,20:00,정보 없음,정보 없음,10:00,19:00,정보 없음,정보 없음,10:00,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
더블유성형외과의원,의원,성형외과,044-863-6673,044-863-6673 대표번호,36.4861693,127.2547548,"성형외과, 피부과",진료시간  월 ~ 금 10:00 ~ 18:00  토 09:00 ~ 12:30,휴무일 정보 없음,세종특별자치시 한누리대로 245 (우)30127,10:00,18:00,정보 없음,정보 없음,10:00,18:00,정보 없음,정보 없음,10:00,18:00,정보 없음,정보 없음,10:00,18:00,정보 없음,정보 없음,10:00,18:00,정보 없음,정보 없음,9:00,12:30,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
더블유세종어진건강의원,의원,내과,044-715-5262,1800-6927 대표번호,36.4954676,127.2569976,"내과, 산부인과",진료시간  월화목금 09:00 ~ 18:00  수토 09:00 ~ 13:00  월화목금 휴게시간 13:00 ~ 14:00,휴무일 일요일 공휴일,세종특별자치시 한누리대로 350 뱅크빌딩 5층 501 505호 (우)30121,9:00,18:00,13:00,14:00,9:00,18:00,13:00,14:00,9:00,13:00,정보 없음,정보 없음,9:00,18:00,13:00,14:00,9:00,18:00,13:00,14:00,9:00,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
더플랜트치과의원,치과의원,치과,044-998-2875,044-998-2875 대표번호,36.5116352,127.2432425,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 예방치과",진료시간  화 ~ 금 09:30 ~ 18:30  월 09:30 ~ 20:30  토 09:30 ~ 13:00,휴무일 정보 없음,세종특별자치시 아름서1길 13-12 제이디빌딩 403404호 (우)30100,9:30,20:30,정보 없음,정보 없음,9:30,18:30,정보 없음,정보 없음,9:30,18:30,정보 없음,정보 없음,9:30,18:30,정보 없음,정보 없음,9:30,18:30,정보 없음,정보 없음,9:30,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
덴탈365치과의원,치과의원,치과,1661-3275,1661-3275 대표번호,36.4896124,127.3022023,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과",진료시간  월 ~ 금 09:30 ~ 18:30  토 09:00 ~ 13:00,휴무일 정보 없음,세종특별자치시 한누리대로 1958 법조타운A 3층 301~310호 (우)30147,9:30,18:30,정보 없음,정보 없음,9:30,18:30,정보 없음,정보 없음,9:30,18:30,정보 없음,정보 없음,9:30,18:30,정보 없음,정보 없음,9:30,18:30,정보 없음,정보 없음,9:00,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
도담도담소아청소년과의원,의원,소아청소년과,044-867-3211,044-867-3211 대표번호,36.5128243,127.2588645,"내과, 정형외과, 산부인과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 가정의학과",진료시간  월 ~ 금 09:00 ~ 18:30  토 09:00 ~ 13:30  월 ~ 금 휴게시간 13:00 ~ 14:00,휴무일 공휴일,세종특별자치시 보듬3로 6 라온프라이빗시티2상가 212호 (우)30098,9:00,18:30,13:00,14:00,9:00,18:30,13:00,14:00,9:00,18:30,13:00,14:00,9:00,18:30,13:00,14:00,9:00,18:30,13:00,14:00,9:00,13:30,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
도란도란소아청소년과의원,의원,소아청소년과,044-863-3275,044-863-3275 대표번호,36.4956245,127.2485187,"내과, 소아청소년과, 이비인후과, 피부과",진료시간  월 ~ 금 08:30 ~ 19:00  토 08:30 ~ 14:00,휴무일 정보 없음,세종특별자치시 다정중앙로 57 (우)30124,8:30,19:00,정보 없음,정보 없음,8:30,19:00,정보 없음,정보 없음,8:30,19:00,정보 없음,정보 없음,8:30,19:00,정보 없음,정보 없음,8:30,19:00,정보 없음,정보 없음,8:30,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
도치소아치과의원,치과의원,치과,044-865-5200,044-865-5200 대표번호,36.4950124,127.2485612,소아치과,진료시간  월 ~ 금 09:30 ~ 18:30  토 09:00 ~ 13:00,휴무일 정보 없음,세종특별자치시 다정중앙로 51 (우)30124,9:30,18:30,정보 없음,정보 없음,9:30,18:30,정보 없음,정보 없음,9:30,18:30,정보 없음,정보 없음,9:30,18:30,정보 없음,정보 없음,9:30,18:30,정보 없음,정보 없음,9:00,13:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
동인한의원,한의원,한의원,044-715-7512,044-715-7512 대표번호,36.4773617,127.2889044,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",진료시간  월화금 10:00 ~ 19:00  수 10:00 ~ 20:00  목 10:00 ~ 18:00  토 10:00 ~ 14:00  월 ~ 금 휴게시간 13:00 ~ 14:00,휴무일 정보 없음,세종특별자치시 호려울로 19 스마트허브3 3층 304호 (우)30150,10:00,19:00,13:00,14:00,10:00,19:00,13:00,14:00,10:00,20:00,13:00,14:00,10:00,18:00,13:00,14:00,10:00,19:00,13:00,14:00,10:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
동행의원한의원,한의원,한의원,044-868-9935,044-868-9935 대표번호,36.487784,127.2566555,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",진료시간  월 ~ 금 10:00 ~ 19:00  토 10:00 ~ 15:00,휴무일 정보 없음,세종특별자치시 한누리대로 265 명동프라자 601~603호 (우)30127,10:00,19:00,정보 없음,정보 없음,10:00,19:00,정보 없음,정보 없음,10:00,19:00,정보 없음,정보 없음,10:00,19:00,정보 없음,정보 없음,10:00,19:00,정보 없음,정보 없음,10:00,15:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음
