음식점명,운영시간,휴무일,주소,연락처,최종분류,분류,별점,리뷰수,시설,메뉴,월요일 영업 시작시간,월요일 영업 종료시간,월요일 라스트오더 시간,월요일 휴게 시작시간,월요일 휴게 종료시간,화요일 영업 시작시간,화요일 영업 종료시간,화요일 라스트오더 시간,화요일 휴게 시작시간,화요일 휴게 종료시간,수요일 영업 시작시간,수요일 영업 종료시간,수요일 라스트오더 시간,수요일 휴게 시작시간,수요일 휴게 종료시간,목요일 영업 시작시간,목요일 영업 종료시간,목요일 라스트오더 시간,목요일 휴게 시작시간,목요일 휴게 종료시간,금요일 영업 시작시간,금요일 영업 종료시간,금요일 라스트오더 시간,금요일 휴게 시작시간,금요일 휴게 종료시간,토요일 영업 시작시간,토요일 영업 종료시간,토요일 라스트오더 시간,토요일 휴게 시작시간,토요일 휴게 종료시간,일요일 영업 시작시간,일요일 영업 종료시간,일요일 라스트오더 시간,일요일 휴게 시작시간,일요일 휴게 종료시간,태그_예약_배달_포장,위도,경도,이미지파일명,상세페이지주소
일품양평해장국 세종나성점,영업시간 매일 00:00 ~ 24:00,연중무휴,세종특별자치시 나성북1로 22 (우)30128,044-864-8532 대표번호,한식,일품양평해장국,1,22,시설 정보 없음,"양평해장국: 12000
얼큰 양평해장국: 13,000
내장탕: 14000
선지해장국: 10,000",0:00,0:00,정보 없음,정보 없음,정보 없음,0:00,0:00,정보 없음,정보 없음,정보 없음,0:00,0:00,정보 없음,정보 없음,정보 없음,0:00,0:00,정보 없음,정보 없음,정보 없음,0:00,0:00,정보 없음,정보 없음,정보 없음,0:00,0:00,정보 없음,정보 없음,정보 없음,0:00,0:00,정보 없음,정보 없음,정보 없음,#24시간식당 #혼밥,36.4910836,127.2587189,12.일품양평해장국.jfif,https://place.map.kakao.com/1012374364
복호두 세종나성점,영업시간 월~토 09:30 ~ 19:00 (재료 소진 시 조기 마감),휴무일 일요일,세종특별자치시 한누리대로 169 행복타워 1층 103호 (우)30130,010-9907-0638 대표번호,간식,복호두,5,96,시설 정보 없음,"앙버터 호두과자: 9000
레몬버터 호두과자: 10000
호두과자: 7000
호두육포: 6000
앙버터 담례품(8알): 4500",9:30,19:00,정보 없음,정보 없음,정보 없음,9:30,19:00,정보 없음,정보 없음,정보 없음,9:30,19:00,정보 없음,정보 없음,정보 없음,9:30,19:00,정보 없음,정보 없음,정보 없음,9:30,19:00,정보 없음,정보 없음,정보 없음,9:30,19:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,36.4801079,127.2617862,13.복호두 세종나성점.png,https://place.map.kakao.com/912064741
다담스시다이닝,영업시간 월~토 11:00 ~ 22:00 일 11:00 ~ 21:00 월~토 라스트오더 ~ 21:30 월~토 라스트오더 ~ 14:00 월~토 휴게시간 14:30 ~ 17:00,휴무일 정보 없음,세종특별자치시 나성북로 30 퍼스트원 2동 2층 268269270271호 (우)30128,010-8344-4532 대표번호,일식,초밥롤,3.8,38,시설 정보 없음,"다담 ""한상"" (1인): 58000
사시미 세트 (1인): 45000
패밀리 세트 (2~3인): 99000
연어 ""한판"" (2~3인): 99000
참치스페셜: 99000",11:00,22:00,14:00,14:30,17:00,11:00,22:00,14:00,14:30,17:00,11:00,22:00,14:00,14:30,17:00,11:00,22:00,14:00,14:30,17:00,11:00,22:00,14:00,14:30,17:00,11:00,22:00,14:00,14:30,17:00,11:00,21:00,정보 없음,정보 없음,정보 없음,정보 없음,36.4901712,127.2594252,14.다담스시다이닝.jfif,https://place.map.kakao.com/380126910
구주 나성점,영업시간 월~목 17:00 ~ 02:30 금토 17:00 ~ 03:00,휴무일 일요일,세종특별자치시 나성북로 15 (우)30128,연락처 정보 없음,일식/주점업,일본식주점,4.7,185,시설 정보 없음,"홍짬뽕: 21900
백짬뽕: 21900
쿠시카츠모듬: 19800
부타니쿠 (갈비양념): 24000
가쓰오 소고기숙주볶음: 18900",17:00,2:30,정보 없음,정보 없음,정보 없음,17:00,2:30,정보 없음,정보 없음,정보 없음,17:00,2:30,정보 없음,정보 없음,정보 없음,17:00,2:30,정보 없음,정보 없음,정보 없음,17:00,3:00,정보 없음,정보 없음,정보 없음,17:00,3:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,36.4897308,127.2584009,15.구주 나성점.jfif,https://place.map.kakao.com/924796089
더레스토,영업시간 화~일 11:30 ~ 22:00 화~일 휴게시간 14:00 ~ 17:00,휴무일 월요일,세종특별자치시 나성북로 30 어반아트리움 퍼스트원 B동 283호 (우)30128,044-862-0311 대표번호,일식/양식,양식,2.7,48,WIFI 동물출입금지 주차 휠체어사용 놀이방시설 없음 흡연실시설 없음,"사시미 모리아와세: 48000
아마에비 플래터: 27000
우니 플래터: 38000
고등어 봉초밥: 22000
후토마끼: 26000",정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,11:30,22:00,정보 없음,14:00,17:00,11:30,22:00,정보 없음,14:00,17:00,11:30,22:00,정보 없음,14:00,17:00,11:30,22:00,정보 없음,14:00,17:00,11:30,22:00,정보 없음,14:00,17:00,11:30,22:00,정보 없음,14:00,17:00,"#안심식당 #소개팅 #이동약자접근
예약가능 배달불가 포장불가",36.4901712,127.2594252,16.더레스토.jfif,https://place.map.kakao.com/87241140
블루샥 세종나성점,영업시간 월~금 08:00 ~ 21:00 주말 10:00 ~ 20:00,휴무일 정보 없음,세종특별자치시 한누리대로 234 1동 1층 (우)30128,044-272-3330 대표번호,카페,블루샥,5,44,WIFI 주차,"아메리카노: 2000
샥라떼: 3400
카페라떼: 3400
애플망고 아이스티: 3600
레몬 얼그레이티: 4800",8:00,21:00,정보 없음,정보 없음,정보 없음,8:00,21:00,정보 없음,정보 없음,정보 없음,8:00,21:00,정보 없음,정보 없음,정보 없음,8:00,21:00,정보 없음,정보 없음,정보 없음,8:00,21:00,정보 없음,정보 없음,정보 없음,10:00,20:00,정보 없음,정보 없음,정보 없음,10:00,20:00,정보 없음,정보 없음,정보 없음,"#카카오페이
포장가능",36.4856398,127.2590765,17.블루샥 세종나성점.jfif,https://place.map.kakao.com/1285286165
유성닭발 세종점,영업시간 매일 17:00 ~ 02:00 매일 라스트오더 ~ 01:30,휴무일 첫째 일요일,세종특별자치시 나성로 125-16 스타타워 1층 (우)30128,044-866-0804 대표번호,한식/주점업,닭요리,5,22,WIFI 동물출입금지 주차 휠체어사용 놀이방시설 없음 흡연실시설 없음,"닭발: 17000
로제무뼈닭발: 23000
불동집: 17000
직화복닭발: 19900
매콤오돌뼈: 17000",17:00,2:00,1:30,정보 없음,정보 없음,17:00,2:00,1:30,정보 없음,정보 없음,17:00,2:00,1:30,정보 없음,정보 없음,17:00,2:00,1:30,정보 없음,정보 없음,17:00,2:00,1:30,정보 없음,정보 없음,17:00,2:00,1:30,정보 없음,정보 없음,17:00,2:00,1:30,정보 없음,정보 없음,"#안심식당 #이동약자접근 #제로페이
예약가능 배달가능 포장가능",36.4900912,127.2577622,18.유성닭발 세종점.png,https://place.map.kakao.com/1753721832
썸머커피라운지,영업시간 월~금 08:00 ~ 21:00 토 09:00 ~ 17:00,공휴일 09:00 ~ 17:00,세종특별자치시 한누리대로 253 109호 (우)30127,연락처 정보 없음,카페,커피전문점,4.5,14,시설 정보 없음,"아메리카노(HOT): 3500
카페라떼(HOT): 4000
얼그레이리저브: 5000
레몬차(HOT): 5500
자몽에이드: 5500",8:00,21:00,정보 없음,정보 없음,정보 없음,8:00,21:00,정보 없음,정보 없음,정보 없음,8:00,21:00,정보 없음,정보 없음,정보 없음,8:00,21:00,정보 없음,정보 없음,정보 없음,8:00,21:00,정보 없음,정보 없음,정보 없음,9:00,17:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,36.4868049,127.2572334,19.썸머커피라운지.jfif,https://place.map.kakao.com/194095427
우리네코다리,영업시간 월~금 11:00 ~ 19:00 토 11:00 ~ 14:00,휴무일 일요일,세종특별자치시 나성로 33-6 세종에이스타워 8층 802호 (우)30129,044-867-9098 대표번호,한식,해물생선,4,6,시설 정보 없음,"코다리정식 1인분: 11000 [2인이상 주문가능]
코다리 추가: 5000
공기밥 추가: 1000",11:00,19:00,정보 없음,정보 없음,정보 없음,11:00,19:00,정보 없음,정보 없음,정보 없음,11:00,19:00,정보 없음,정보 없음,정보 없음,11:00,19:00,정보 없음,정보 없음,정보 없음,11:00,19:00,정보 없음,정보 없음,정보 없음,11:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,36.4827307,127.2628294,21.우리네코다리.png,https://place.map.kakao.com/25462811
어샾포차,영업시간 매일 16:00 ~ 24:00 매일 라스트오더 ~ 23:00,휴무일 첫째셋째 일요일,세종특별자치시 나성북1로 18 제이빌딩 1층 (우)30128,044-868-3867 대표번호,주점업,실내포장마차,3,22,시설 정보 없음,"광어(소): 40000
우럭(소): 40000
도미(소): 50000
농어(소): 50000
모듬회(소): 70000",16:00,0:00,23:00,정보 없음,정보 없음,16:00,0:00,23:00,정보 없음,정보 없음,16:00,0:00,23:00,정보 없음,정보 없음,16:00,0:00,23:00,정보 없음,정보 없음,16:00,0:00,23:00,정보 없음,정보 없음,16:00,0:00,23:00,정보 없음,정보 없음,16:00,0:00,23:00,정보 없음,정보 없음,정보 없음,36.4908825,127.2582446,22.어샾포차.jfif,https://place.map.kakao.com/1871607763
민들레감자탕,영업시간 월~토 16:00 ~ 03:00,휴무일 일요일,세종특별자치시 나성로 125-16 1층 (우)30128,044-862-4901 대표번호,한식,감자탕,3.5,38,시설 정보 없음,"감자탕 (중): 35000
뼈추가: 14000
우거지뼈해장국: 10000
볶음밥: 2000
라면사리: 1500",16:00,3:00,정보 없음,정보 없음,정보 없음,16:00,3:00,정보 없음,정보 없음,정보 없음,16:00,3:00,정보 없음,정보 없음,정보 없음,16:00,3:00,정보 없음,정보 없음,정보 없음,16:00,3:00,정보 없음,정보 없음,정보 없음,16:00,3:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,36.4900912,127.2577622,23.민들레감자탕.jfif,https://place.map.kakao.com/2112023853
소복유부,영업시간 월~금일 11:00 ~ 20:00 월~금일 라스트오더 ~ 19:50 월~금일 휴게시간 14:00 ~ 16:00,휴무일 토요일,세종특별자치시 한누리대로 223 103호 (우)30127,044-999-4637 대표번호,일식,일식,4.3,53,시설 정보 없음,"생연어 뚱유부: 3500
구운연어 뚱유부: 3500
에그폭탄 뚱유부: 2500
참치마요 뚱유부: 2500
타코와사비 뚱유부: 3300",11:00,20:00,19:50,14:00,16:00,11:00,20:00,19:50,14:00,16:00,11:00,20:00,19:50,14:00,16:00,11:00,20:00,19:50,14:00,16:00,11:00,20:00,19:50,14:00,16:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,11:00,20:00,19:50,14:00,16:00,#점심식사 #혼밥,36.4845484,127.2587514,24.소복유부.jfif,https://place.map.kakao.com/482344434
나성집,영업시간 월~토 11:00 ~ 21:00 월~토 휴게시간 14:20 ~ 17:30,휴무일 일요일,세종특별자치시 나성로 133-15 애플타워 2층 210호 (우)30128,044-868-0575 대표번호,한식,한식,4.7,72,시설 정보 없음,"돼지고치 김치찜: 11000
두부 김치찜: 11000
부대 김치찜: 12000
통오징어 튀김: 13900
고기튀김: 12900",11:00,21:00,정보 없음,14:20,17:30,11:00,21:00,정보 없음,14:20,17:30,11:00,21:00,정보 없음,14:20,17:30,11:00,21:00,정보 없음,14:20,17:30,11:00,21:00,정보 없음,14:20,17:30,11:00,21:00,정보 없음,14:20,17:30,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,36.490387,127.2575144,25.나성집.jfif,https://place.map.kakao.com/399858955
하얼번나성점,영업시간 매일 17:30 ~ 02:00 매일 라스트오더 ~ 01:00,휴무일 정보 없음,세종특별자치시 나성북로 9 (우)30128,연락처 정보 없음,중식,중식,0,38,시설 정보 없음,"양꼬치세트A: 49000
양꼬치: 14000
양갈비살꼬치: 15000
양갈비(300g): 35000
양등갈비(500g): 30000",17:30,2:00,1:00,정보 없음,정보 없음,17:30,2:00,1:00,정보 없음,정보 없음,17:30,2:00,1:00,정보 없음,정보 없음,17:30,2:00,1:00,정보 없음,정보 없음,17:30,2:00,1:00,정보 없음,정보 없음,17:30,2:00,1:00,정보 없음,정보 없음,17:30,2:00,1:00,정보 없음,정보 없음,정보 없음,36.4896498,127.2578632,26.하얼번나성점.jfif,https://place.map.kakao.com/1128340240
죽이야기 세종한솔점,영업시간 월~금 09:30 ~ 19:30 토 09:30 ~ 15:30,휴무일 일요일,세종특별자치시 한누리대로 165 세종메디피아 1층 (우)30130,044-868-6287 대표번호,한식,죽이야기,3.7,2,시설 정보 없음,"진품전복죽: 28500
특전복죽: 21500
전복인삼닭죽: 17000
닥터이유식 9종: 15000
완도전복죽: 14000",9:30,19:30,정보 없음,정보 없음,정보 없음,9:30,19:30,정보 없음,정보 없음,정보 없음,9:30,19:30,정보 없음,정보 없음,정보 없음,9:30,19:30,정보 없음,정보 없음,정보 없음,9:30,19:30,정보 없음,정보 없음,정보 없음,9:30,15:30,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,#안심식당,36.4798954,127.2619433,27.죽이야기 세종한솔점.jfif,https://place.map.kakao.com/1846192594
나성꼬마김밥,영업시간 화~토 08:00 ~ 20:00 일 08:00 ~ 14:00,휴무일 월요일,세종특별자치시 정부2청사로 10 SM타워 1층 (우)30129,044-867-8833 대표번호,분식,분식,4.5,16,시설 정보 없음,"콩국수: 10000
열무국수: 8500
열무냉면: 8500
나성꼬마깁밥: 3500
참치꼬마김밥: 4500",정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,8:00,20:00,정보 없음,정보 없음,정보 없음,8:00,20:00,정보 없음,정보 없음,정보 없음,8:00,20:00,정보 없음,정보 없음,정보 없음,8:00,20:00,정보 없음,정보 없음,정보 없음,8:00,20:00,정보 없음,정보 없음,정보 없음,8:00,14:00,정보 없음,정보 없음,정보 없음,정보 없음,36.4827713,127.2619079,28.나성꼬마김밥.jfif,https://place.map.kakao.com/2114985059
짬뽕생각 세종점,영업시간 월~토 11:00 ~ 21:00 월~토 라스트오더 ~ 20:00,휴무일 일요일,세종특별자치시 한누리대로 234 르네상스 1층 102호 (우)30128,연락처 정보 없음,중식,중국요리,0,14,시설 정보 없음,"미니탕수육: 12000
군만두반접시: 4000
해물짬뽕: 10000
짜장면: 7000
육짬뽕밥: 10000",11:00,21:00,20:00,정보 없음,정보 없음,11:00,21:00,20:00,정보 없음,정보 없음,11:00,21:00,20:00,정보 없음,정보 없음,11:00,21:00,20:00,정보 없음,정보 없음,11:00,21:00,20:00,정보 없음,정보 없음,11:00,21:00,20:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,36.4856398,127.2590765,29.짬뽕생각 세종점.jfif,https://place.map.kakao.com/1163470329
돈키호테,영업시간 화~토 17:30 ~ 22:00,휴무일 월일요일,세종특별자치시 나성북로 30 퍼스트원 272273호 (우)30128,044-863-3352 대표번호,한식,육류고기,3.3,0,WIFI 동물출입금지 주차 휠체어사용 놀이방시설 없음 흡연실시설 없음,"유기농 이베리코 몽땅(800g): 79000
유기농 이베리코 한근(600g): 59000
유기능 이베리코 커플세트(450g): 43000
왕갈비탕: 12000
정통 육개장: 10000",정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,17:30,22:00,정보 없음,정보 없음,정보 없음,17:30,22:00,정보 없음,정보 없음,정보 없음,17:30,22:00,정보 없음,정보 없음,정보 없음,17:30,22:00,정보 없음,정보 없음,정보 없음,17:30,22:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,"#안심식당 #나성동 #돈키호테 #돼지고기 #유기농흑돼지 #이베리코 #이동약자접근 #점심특선 #친목모임 #회식장소
예약가능 배달가능 포장가능",36.4901712,127.2594252,30.돈키호테.jfif,https://place.map.kakao.com/607041726
쉼어묵그리고한잔술,영업시간 월~토 18:00 ~ 02:00,휴무일 일요일,세종특별자치시 나성북로 21 센트럴타워 1층 101호 (우)30128,연락처 정보 없음,일식/주점업,오뎅바,4,1,시설 정보 없음,"소힘줄 어묵탕+수제 오꼬노미야끼: 44000
어묵 한냄비+매운 소힘줄: 52000
어묵 한냄비 + 아롱사태 소 힘줄 수육: 52000
김치우동전골: 2000
메로구이: 28000",18:00,2:00,정보 없음,정보 없음,정보 없음,18:00,2:00,정보 없음,정보 없음,정보 없음,18:00,2:00,정보 없음,정보 없음,정보 없음,18:00,2:00,정보 없음,정보 없음,정보 없음,18:00,2:00,정보 없음,정보 없음,정보 없음,18:00,2:00,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,36.4898147,127.258937,31.쉼어묵그리고한잔술.jfif,https://place.map.kakao.com/341464588
하나텐동,영업시간 월~토 11:30 ~ 21:00 일 11:30 ~ 15:30 월~토 휴게시간 15:00 ~ 17:00,휴무일 설당일 추석당일 1월1일,세종특별자치시 가름로 232 세종비지니스센터 B동 1층 107호 (우)30121,0507-1386-6360 대표번호,일식,일식,5,31,WIFI 동물출입금지 주차 휠체어사용 놀이방시설 없음 흡연실시설 없음,"하나텐동: 12000
아나고(바다장어)텐동: 15000
에비텐동: 14000
스페셜텐동: 17000
방울토마토 절임: 3500",11:30,21:00,정보 없음,15:00,17:00,11:30,21:00,정보 없음,15:00,17:00,11:30,21:00,정보 없음,15:00,17:00,11:30,21:00,정보 없음,15:00,17:00,11:30,21:00,정보 없음,15:00,17:00,11:30,21:00,정보 없음,15:00,17:00,11:30,15:30,정보 없음,정보 없음,정보 없음,저희 하나텐동은 어진동에 위치한 일본식 튀김덮밥(텐동) 전문점 입니다.맛있게 드세요^^ 닫기,36.4956263,127.2649084,32.하나텐동.jfif,https://place.map.kakao.com/671562402
